Out-degree strong,Betweeness strong
25,0.0006193645012283971
2,0.00014222495061941078
10,6.35404732348822e-07
10,3.438015342455993e-06
6,0.0020650156122430873
1,0.00046729450214732957
2,0.006050314016674915
5,0.0027473270897953655
42,0.002832480422277626
2,8.756787049622775e-05
78,0.007016840602116025
5,2.7921659777093586e-06
18,0.0001344816483025967
5,0.0
25,0.0023232366265964195
2,0.0010964303325675922
3,1.2254413664782796e-06
2,1.2889683373178805e-07
25,0.001533550369590827
6,0.0007572074654912467
5,5.40771764805412e-06
11,0.00036497281436524004
19,0.0032015338547306503
28,0.0
5,3.7666157427648244e-05
2,0.0003924911006232844
5,1.4058463679543746e-06
9,0.00011801842999905025
5,0.00012935244117248383
45,0.0006498766881332556
25,0.001044858938933568
5,0.0019315161528044356
12,1.6645331520123104e-06
8,4.521003834122719e-05
10,0.0006653091747620774
4,0.0005110204209566244
33,0.0015669663073452226
7,0.0025422163874663658
23,4.68485133028082e-05
3,4.096502336078307e-06
47,0.0001322115460336055
11,0.0
38,0.0010202947431485617
13,2.5317469256409944e-06
4,0.002618262818802627
2,1.146277778650798e-05
6,0.0011438349926033223
7,0.0015702492370939362
4,0.0014007422380865311
1,0.0
2,0.0010172934723754964
12,0.0005299580897526782
14,0.00020815793602160885
1,2.8966216244717178e-06
11,2.7773726547394503e-07
2,0.0
12,0.0005086467361877482
24,5.4658654650238164e-05
3,1.3929222828977046e-05
3,9.083909019352991e-07
42,0.003674566913746615
14,0.001080180004077265
2,5.93567987813899e-07
12,0.001014402303616016
12,0.001780491183086535
12,0.0005090140921638839
8,0.00020807897865441962
2,0.0
2,0.0
34,0.0003110078335750003
3,3.454541074747221e-05
23,4.3072823217853494e-05
7,6.935761567017224e-06
15,0.0005232456742727411
18,0.003194393458998293
2,0.0007952539263746031
7,0.004843003145301741
10,0.0013915976835537425
68,0.004427258176946945
6,0.00030634061589870573
2,3.420491596419283e-06
19,0.0002375483831721305
2,1.6444744476739388e-05
4,4.21419201882597e-06
10,5.001208490806121e-05
5,0.002064110906754754
35,0.0009078583436641783
41,2.692069213895791e-06
4,0.005659431350764205
10,6.05536420727497e-06
20,0.0005167504154559623
3,3.545503188778822e-06
23,0.0010714525178520077
22,0.0024344122055156756
1,0.0001275527220096147
1,0.0
39,0.0020617851392839112
3,0.00020260584568758692
11,0.00015978829359710521
3,8.898631743541436e-06
4,1.0715593412674617e-05
14,0.0012804544268415546
16,0.000208613185713666
14,0.00047201859388502736
2,0.00012307193410256552
2,0.0004238656501883568
10,0.0009334581876500797
28,0.04490515871573105
4,9.372876497889732e-05
1,0.0
2,0.0020010162601626015
26,0.0008136252996125388
4,4.993221491368402e-05
7,0.0010333744160077596
1,0.0
2,2.5878338117564504e-05
6,0.006758285522357913
32,0.00888682766398062
4,0.00038973516796020336
3,1.614187949292159e-05
72,0.0019080405293676642
5,1.843307213883258e-06
1,1.1181916974950922e-06
13,1.511622363526381e-05
1,0.0
14,0.0011158655424075112
12,0.006261837576837338
1,2.0717945490367773e-05
94,0.0030543501480965367
2,0.003177986130071038
5,2.7387571305694607e-06
3,0.0013218912087883856
13,2.1131453589320897e-05
7,4.744134942810538e-06
