date_store,mod_weighted_file,random_mod_weighted_file
28,0.36013174635887196,"[0.06651324118625769, 0.07069782795831399, 0.06604828710047368, 0.06918672717951586, 0.06581581005758165, 0.06825681900794785, 0.06848929605083982, 0.07220892873711203, 0.0637235166715535, 0.07209269021566607]"
3-01,0.34996823675711025,"[0.058898776999668154, 0.06694728857629438, 0.06849083874167473, 0.05967055208235837, 0.061655116580704536, 0.05978080566559983, 0.06749855649250168, 0.05900903058290961, 0.05900903058290961, 0.05956029849911691]"
3-02,0.3629167313437014,"[0.06042266197138632, 0.06927051732818568, 0.06683415136037138, 0.05824275557913136, 0.06939874711596536, 0.06247433857586149, 0.06234610878808178, 0.05914036409358925, 0.0611920406980645, 0.06760353008704956]"
3-03,0.3822724450306362,"[0.06595163740304219, 0.060062686197209336, 0.07408399859204948, 0.06707334239462936, 0.06665270302278417, 0.06861568675806182, 0.06511035865935177, 0.07282208047651384, 0.06707334239462936, 0.07141994923702985]"
3-04,0.361814663238781,"[0.0565396912971424, 0.06117867371390259, 0.06596730072475185, 0.06297440884297101, 0.06491978856612854, 0.06806232504199836, 0.056240402108964305, 0.05983187236710119, 0.06955877098288873, 0.06342334262523816]"
3-05,0.36894162688551496,"[0.07042147039631608, 0.0741636034121351, 0.07280282777001909, 0.06633914346996805, 0.06889059779893555, 0.07059156735158056, 0.0697410825752581, 0.06923079170946456, 0.06174652567782654, 0.06787001606734855]"
3-06,0.40344731287607655,"[0.07033824507313116, 0.072431390023419, 0.06660048623333151, 0.07512257638807474, 0.06764705870847543, 0.06331125845430782, 0.06794607941565942, 0.06974020365876321, 0.07362747285215487, 0.0646568516366357]"
3-07,0.3676445381711071,"[0.0648858641891892, 0.06890410080150665, 0.06086762757687171, 0.06674043493333569, 0.06210400807296944, 0.06504041175120136, 0.0613312702629084, 0.053758439724310145, 0.060558532452847355, 0.06596769712327465]"
3-08,0.37005541127410296,"[0.06931083374092065, 0.06995829246542698, 0.06639726948064228, 0.0625125171336044, 0.06736845756740173, 0.07270999204457884, 0.06979642778430042, 0.06704472820514856, 0.06494048735050306, 0.0647786226693765]"
3-09,0.3551286421556693,"[0.06593945296648004, 0.058552065579092705, 0.06647999350702058, 0.06990341693044405, 0.0621556691826963, 0.06449801152503862, 0.06521873224575933, 0.061615128642155736, 0.05981332684035395, 0.06575927278629987]"
3-10,0.3754414697394521,"[0.07060714057052217, 0.0669134958122386, 0.06799986191761617, 0.06647894937008761, 0.07104168701267319, 0.07038986734944663, 0.06474076360148362, 0.06908622802299366, 0.06756531547546515, 0.07191077989697522]"
3-11,0.3652821335792574,"[0.06437981894606787, 0.06692983856160337, 0.06182979933053234, 0.0657529064313562, 0.05476820654904943, 0.06359519752590309, 0.055356672614172986, 0.06124133326540879, 0.06457597430110903, 0.07301065456788033]"
