date_store,mod_weighted_file,random_mod_weighted_file
11,0.3018957475744107,"[0.039055868420332124, 0.02395012823906323, 0.039055868420332124, 0.045098164492839626, 0.06926734878286986, 0.05416160860160099, 0.05416160860160099, 0.042077016456585875, 0.045098164492839626, 0.05114046056534721]"
12,0.3611564742450713,"[0.06458619852213926, 0.05382627922153402, 0.05987873382812445, 0.06324120860956359, 0.0511362993963827, 0.0423938649646409, 0.058533743915548775, 0.05382627922153402, 0.055171269134109635, 0.05718875400297316]"
13,0.3844942673650379,"[0.0739582230027459, 0.07334208005758261, 0.05917079231882719, 0.05670622053817409, 0.06348379293497011, 0.06841293649627636, 0.05793850642850065, 0.047464076360724916, 0.07210979416725605, 0.06533222177045997]"
14,0.38742388802257366,"[0.044140305933021456, 0.0540905546892404, 0.036677619365857256, 0.044140305933021456, 0.04911543031113089, 0.06901592782356872, 0.0466278681220762, 0.0540905546892404, 0.0553343357837677, 0.06901592782356872]"
15,0.3655199142174814,"[0.047130161244013924, 0.058109118243099, 0.03432137807841465, 0.043470508910985584, 0.05261963974355646, 0.043470508910985584, 0.05444946591007063, 0.07823720607475498, 0.058109118243099, 0.07640737990824081]"
16,0.3753873158540276,"[0.051241781124148914, 0.04462656612966158, 0.05565192445380711, 0.053446852788978025, 0.04683163779449066, 0.06667728277795264, 0.04462656612966158, 0.06006206778346536, 0.051241781124148914, 0.03360120780551604]"
17,0.4067948520453176,"[0.07016118867898102, 0.07581889730698668, 0.07299004299298384, 0.06450348005097539, 0.06167462573697255, 0.08430546024899518, 0.06167462573697255, 0.07299004299298384, 0.05884577142296968, 0.09279202319100366]"
18,0.3883941210253423,"[0.06983911281516172, 0.059986896066393264, 0.030430245820087798, 0.06983911281516172, 0.02714617357049831, 0.04028246256885634, 0.06655504056557224, 0.07312318506475121, 0.07312318506475121, 0.09611169081187765]"
19,0.3693737985555627,"[0.06560439722518573, 0.050083332923633636, 0.050083332923633636, 0.04343144822296842, 0.08334275642695955, 0.03899685842252497, 0.05451792272407706, 0.06116980742474222, 0.05230062782385535, 0.050083332923633636]"
20,0.3666522929899191,"[0.06436221665404118, 0.05062175863877402, 0.03382786550900299, 0.06894236932579689, 0.06283549909678929, 0.05214847619602592, 0.05672862886778163, 0.04298817085251447, 0.05520191131052973, 0.05367519375327781]"
21,0.3729401236443052,"[0.07150745888785812, 0.06119227264143978, 0.07150745888785812, 0.06004614083628221, 0.0554616136156518, 0.07953038152396127, 0.04743869097954867, 0.04285416375891832, 0.046292559174391096, 0.06119227264143978]"
22,0.39195268341005773,"[0.06905192005127911, 0.04233436279937072, 0.061418332265019554, 0.05531146203601192, 0.05683817959326384, 0.056074820814637855, 0.07439543150166081, 0.06599848493677526, 0.05454810325738599, 0.05454810325738599]"
23,0.4024612052584685,"[0.07213426050085864, 0.07551644764854745, 0.06424249048958469, 0.06987946906906603, 0.08002603051213258, 0.06424249048958469, 0.06536988620548095, 0.05296853333062185, 0.07889863479623632, 0.061987699057792084]"
24,0.4076880368586904,"[0.06988163141943465, 0.07471254929383081, 0.07220762891451427, 0.06791347969282885, 0.0666610195031706, 0.07059732295638221, 0.05896733548098415, 0.06361933047114338, 0.06701886527164436, 0.0666610195031706]"
25,0.39608707647130326,"[0.06871704589026362, 0.05770787157833701, 0.05770787157833701, 0.06688218350494249, 0.067187993902496, 0.06550603671595168, 0.06504732111962142, 0.056331724789346144, 0.062295027541639736, 0.06214212234286298]"
