date_store,mod_weighted_file,random_mod_weighted_file
11,0.3018957475744107,"[0.06322505271036233, 0.06322505271036233, 0.06322505271036233, 0.06322505271036233, 0.06322505271036233, 0.06322505271036233, 0.06322505271036233, 0.06322505271036233, 0.06322505271036233, 0.06322505271036233]"
12,0.3611564742450713,"[0.06525869347842705, 0.06525869347842705, 0.06525869347842705, 0.06525869347842705, 0.06525869347842705, 0.06525869347842705, 0.06525869347842705, 0.06525869347842705, 0.06525869347842705, 0.06525869347842705]"
13,0.3844942673650379,"[0.04438336163490855, 0.04438336163490855, 0.04438336163490855, 0.04438336163490855, 0.04438336163490855, 0.04438336163490855, 0.04438336163490855, 0.04438336163490855, 0.04438336163490855, 0.04438336163490855]"
14,0.38742388802257366,"[0.06652836563451403, 0.06652836563451403, 0.06652836563451403, 0.06652836563451403, 0.06652836563451403, 0.06652836563451403, 0.06652836563451403, 0.06652836563451403, 0.06652836563451403, 0.06652836563451403]"
15,0.3655199142174814,"[0.043470508910985584, 0.043470508910985584, 0.043470508910985584, 0.043470508910985584, 0.043470508910985584, 0.043470508910985584, 0.043470508910985584, 0.043470508910985584, 0.043470508910985584, 0.043470508910985584]"
16,0.3753873158540276,"[0.06667728277795264, 0.06667728277795264, 0.06667728277795264, 0.06667728277795264, 0.06667728277795264, 0.06667728277795264, 0.06667728277795264, 0.06667728277795264, 0.06667728277795264, 0.06667728277795264]"
17,0.4067948520453176,"[0.05884577142296968, 0.05884577142296968, 0.05884577142296968, 0.05884577142296968, 0.05884577142296968, 0.05884577142296968, 0.05884577142296968, 0.05884577142296968, 0.05884577142296968, 0.05884577142296968]"
18,0.3883941210253423,"[0.05341875156721429, 0.05341875156721429, 0.05341875156721429, 0.05341875156721429, 0.05341875156721429, 0.05341875156721429, 0.05341875156721429, 0.05341875156721429, 0.05341875156721429, 0.05341875156721429]"
19,0.3693737985555627,"[0.04121415332274668, 0.04121415332274668, 0.04121415332274668, 0.04121415332274668, 0.04121415332274668, 0.04121415332274668, 0.04121415332274668, 0.04121415332274668, 0.04121415332274668, 0.04121415332274668]"
20,0.3666522929899191,"[0.041461453295262546, 0.041461453295262546, 0.041461453295262546, 0.041461453295262546, 0.041461453295262546, 0.041461453295262546, 0.041461453295262546, 0.041461453295262546, 0.041461453295262546, 0.041461453295262546]"
21,0.3729401236443052,"[0.03712350473313031, 0.03712350473313031, 0.03712350473313031, 0.03712350473313031, 0.03712350473313031, 0.03712350473313031, 0.03712350473313031, 0.03712350473313031, 0.03712350473313031, 0.03712350473313031]"
22,0.39195268341005773,"[0.04767787424975242, 0.04767787424975242, 0.04767787424975242, 0.04767787424975242, 0.04767787424975242, 0.04767787424975242, 0.04767787424975242, 0.04767787424975242, 0.04767787424975242, 0.04767787424975242]"
23,0.4024612052584685,"[0.07551644764854745, 0.07551644764854745, 0.07551644764854745, 0.07551644764854745, 0.07551644764854745, 0.07551644764854745, 0.07551644764854745, 0.07551644764854745, 0.07551644764854745, 0.07551644764854745]"
24,0.4076880368586904,"[0.06701886527164436, 0.06701886527164436, 0.06701886527164436, 0.06701886527164436, 0.06701886527164436, 0.06701886527164436, 0.06701886527164436, 0.06701886527164436, 0.06701886527164436, 0.06701886527164436]"
25,0.39608707647130326,"[0.06214212234286298, 0.06214212234286298, 0.06214212234286298, 0.06214212234286298, 0.06214212234286298, 0.06214212234286298, 0.06214212234286298, 0.06214212234286298, 0.06214212234286298, 0.06214212234286298]"
26,0.3907869282594804,"[0.058213280922601945, 0.058213280922601945, 0.058213280922601945, 0.058213280922601945, 0.058213280922601945, 0.058213280922601945, 0.058213280922601945, 0.058213280922601945, 0.058213280922601945, 0.058213280922601945]"
27,0.3794641333934091,"[0.05731917484834359, 0.05731917484834359, 0.05731917484834359, 0.05731917484834359, 0.05731917484834359, 0.05731917484834359, 0.05731917484834359, 0.05731917484834359, 0.05731917484834359, 0.05731917484834359]"
28,0.36013174635887196,"[0.05919021433515924, 0.05919021433515924, 0.05919021433515924, 0.05919021433515924, 0.05919021433515924, 0.05919021433515924, 0.05919021433515924, 0.05919021433515924, 0.05919021433515924, 0.05919021433515924]"
3-01,0.34996823675711025,"[0.05636294458511469, 0.05636294458511469, 0.05636294458511469, 0.05636294458511469, 0.05636294458511469, 0.05636294458511469, 0.05636294458511469, 0.05636294458511469, 0.05636294458511469, 0.05636294458511469]"
3-02,0.3629167313437014,"[0.06760353008704956, 0.06760353008704956, 0.06760353008704956, 0.06760353008704956, 0.06760353008704956, 0.06760353008704956, 0.06760353008704956, 0.06760353008704956, 0.06760353008704956, 0.06760353008704956]"
3-03,0.3822724450306362,"[0.0698776048735974, 0.0698776048735974, 0.0698776048735974, 0.0698776048735974, 0.0698776048735974, 0.0698776048735974, 0.0698776048735974, 0.0698776048735974, 0.0698776048735974, 0.0698776048735974]"
3-04,0.361814663238781,"[0.06701481288337507, 0.06701481288337507, 0.06701481288337507, 0.06701481288337507, 0.06701481288337507, 0.06701481288337507, 0.06701481288337507, 0.06701481288337507, 0.06701481288337507, 0.06701481288337507]"
3-05,0.36894162688551496,"[0.06599894955943905, 0.06599894955943905, 0.06599894955943905, 0.06599894955943905, 0.06599894955943905, 0.06599894955943905, 0.06599894955943905, 0.06599894955943905, 0.06599894955943905, 0.06599894955943905]"
