Out-degree strong,Betweeness strong
46,0.005252425750175191
36,0.01095072633976059
20,0.03951144444302522
15,5.810341238178288e-06
9,0.0008214583823014181
4,1.9700851758245604e-05
3,7.457730003438462e-06
1,6.6459522713751845e-06
1,1.4314772432712343e-06
19,0.009198517774644097
31,0.0033673776432565534
4,1.0273392177043708e-05
4,0.0024808742122196725
3,0.0
4,1.9758269265225503e-05
8,0.0
2,2.543233680938741e-07
6,0.0006656371438675393
6,0.0011026096882408968
9,5.18974595071478e-05
1,5.425565186002648e-07
9,0.013083602900989932
27,0.0006801490185973439
8,2.626135497410539e-06
1,0.0
1,0.0
5,0.001318493222192157
4,1.8342956475342054e-06
26,0.00047717277358211665
61,0.0018398135409589682
35,0.0014475063724216392
9,8.477445603129137e-08
8,0.00019434802428141594
1,0.0001031885088295682
1,5.086467361877483e-07
6,0.0005087002779494523
11,4.639515556959883e-06
5,0.00027640959237925863
1,4.469287302630453e-06
2,1.0462118492718525e-05
3,1.5030437630238238e-05
4,1.5637255948892146e-05
2,7.113322130968479e-06
30,6.157160186154579e-05
21,0.0032520676800844345
6,1.4810097468666604e-05
