In-degree strong,Betweeness strong
74,0.007708836592874957
8,1.7293127404065787e-06
5,0.0005436372381211075
23,7.083379495447691e-05
14,0.007002621034378694
2,2.7167467729088055e-05
1,0.0
137,0.016342667734733682
6,5.302937924565235e-06
19,0.004543122291138344
1,1.9935970978787202e-07
6,0.000188122088950081
1,5.295845330533163e-06
3,0.0005076585082431549
2,4.4531027526845105e-07
130,0.039487070839767935
11,0.0005358776170439735
1,3.147680016796095e-05
1,2.2432625288280178e-07
2,3.853069808791372e-06
1,8.720505232309763e-07
6,0.0013051770911596794
8,0.00021330149244743195
8,4.8265986025750876e-05
31,0.0009739599089934632
4,0.0013895109034693669
33,0.004101913019213899
1,0.001032866413839868
2,8.93811695630268e-06
4,3.36604457771304e-06
2,5.549338539294282e-05
3,0.0005086467361877482
61,0.007877785968656936
1,0.0
66,5.3685386612505056e-05
1,0.002708361725357434
3,8.477445603129137e-08
1,8.467939414322528e-06
11,0.0012007157662167957
1,5.869435998287811e-07
1,4.02678666148634e-07
20,0.01185065920131634
1,0.00012645244002775714
2,0.000400085806571308
1,0.0
8,8.076186763980443e-05
2,6.297531019467359e-07
3,4.396859098603863e-06
49,0.001842570630395469
1,0.0010152588854307454
2,0.002038643983250721
11,0.0018480115638916297
1,0.0025109009998184897
1,3.4981118391435825e-05
2,3.6505417228776934e-06
4,0.00041134508684447456
5,3.272753076960383e-05
77,0.002616469728177184
10,0.0007288915937149467
8,0.002810503444201411
55,0.0035468995616467127
6,4.242536650160843e-05
6,0.011854436944369873
73,0.02721886162789408
4,0.0002086102691899497
1,0.0017604435807785112
9,5.251086347633107e-06
1,9.487032306774517e-07
3,0.013275812911018493
9,0.0016023696577142496
12,0.0011578190394369984
117,0.0149718455614804
1,2.7709529854114867e-06
10,5.0775244309928754e-05
15,0.008191725667599448
1,1.7139183501978474e-07
17,2.543233680938741e-07
10,0.003362363328456854
3,2.4197691977253108e-05
1,7.236655837580237e-07
3,0.0
1,0.00010141198391477822
7,0.00031771502571046136
1,5.35417617039735e-08
3,0.0018031086747676314
3,0.003625880843199092
34,0.011652865398243895
